day,p5,p25,p50,p75,p95
209,14523.943349030784,16637.242404006727,18175.431226607303,19690.646485476387,21942.047747367207
210,14526.330154362759,16664.96211286106,18202.71018681996,19747.6364185812,22025.51583849686
211,14551.37085547138,16693.07833394834,18255.63198726604,19777.918671581698,22061.815202666912
212,14574.18703020529,16728.319756910798,18280.71483922762,19837.834578317852,22114.57429963084
213,14611.05954779409,16772.258909952176,18326.752254018123,19877.840394853767,22126.4101295567
214,14642.54445170603,16810.912213272142,18364.257077057817,19920.49799813305,22212.241588805202
215,14668.552492558845,16837.07984495337,18406.314962537857,19952.155026444307,22239.362173889283
216,14708.834492741636,16867.31543505729,18435.221470433713,20004.577618452255,22286.223242145366
217,14730.906238901547,16902.392767762307,18474.510585347838,20049.346528435504,22322.567119152824
218,14745.984520927808,16937.93267851461,18503.755638646497,20077.414916417467,22362.40003093995
219,14771.206986477482,16988.770774103086,18556.075968860412,20121.853620902944,22393.676519845885
220,14824.976508944128,17025.56969955437,18604.85632892545,20166.78214010144,22427.165655902285
221,14863.545995599774,17055.627024277466,18643.92488107406,20197.283392021433,22510.101484706298
222,14900.62146811215,17099.238731323043,18678.827679395603,20244.409345209177,22580.826690034864
223,14920.795160009597,17133.08935569296,18720.334115130114,20288.370056794545,22604.56667266255
224,14927.100294261001,17173.845588694432,18749.001197028803,20323.885634310176,22646.09267610438
225,14969.768872384502,17208.58550162793,18805.21470828711,20363.706586157045,22711.63290573902
226,15000.851241950384,17246.82783594178,18839.406421583095,20416.780227285326,22777.65073691863
227,15038.607334028928,17273.45892071759,18871.767900833096,20457.80654234127,22813.058356117388
228,15067.302388277203,17300.797459690835,18913.796064752576,20504.754536978613,22861.66289113115
229,15122.365902062695,17335.45727271118,18947.89641771972,20553.43589162111,22886.04423294323
230,15156.69482988284,17359.47243049364,18995.475175588777,20598.482720771644,22941.94978238662
231,15194.373215455671,17390.742577498495,19041.02378373251,20639.436758932166,22961.39049543289
232,15216.150183451467,17437.32822614331,19076.69981325691,20680.102670241697,23001.896769288556
233,15239.375161094156,17477.246661889185,19115.188628998967,20727.901030673893,23054.4186923856
234,15279.450723623833,17519.330885869247,19153.848885956006,20761.895053358072,23112.5239026624
235,15313.59726942471,17552.081625858227,19204.76770330548,20799.097873966686,23137.103176216144
236,15336.062915376608,17579.242020298865,19243.29157717682,20834.84562001719,23179.106649791913
237,15368.026454751604,17619.881800905263,19281.57868882123,20887.789993519575,23243.75513825391
238,15405.102878187754,17665.146816763103,19322.446034411732,20942.02972374108,23302.90410808733
239,15400.529977767092,17704.35812721736,19368.811654014753,20985.46839152192,23356.59513515475
240,15455.317208309138,17734.440533751324,19400.218079804705,21029.53126159455,23405.51069566391
241,15472.952852893026,17771.77072263871,19437.564411302075,21068.930713559086,23434.743367040523
242,15535.307647877644,17814.422813914447,19479.826538741094,21097.38140948068,23474.412515790817
243,15541.56681468495,17843.13400610979,19510.395925010605,21141.087260231623,23512.549585100616
244,15568.359061591893,17901.84788040155,19566.357977096886,21172.86823232018,23570.78395100459
245,15598.706098047809,17945.13907721604,19600.890372754733,21228.422020583093,23608.35853310484
246,15609.299923772654,17981.274813804303,19634.59566727767,21275.339775322896,23666.037770153973
247,15676.365948460048,18005.20428957973,19665.982811422975,21332.86832795342,23713.274195320326
248,15723.207039707004,18034.80338775398,19712.433228495665,21365.976307982794,23753.454387144815
249,15735.246582482237,18068.89509056009,19761.6410321602,21392.459037769277,23806.486849147965
250,15763.852709039975,18107.769790527895,19793.356198877278,21439.232311295855,23846.91563141319
251,15796.78949386378,18128.61245427418,19826.29774065387,21486.59764841556,23884.922250409625
252,15825.640185127017,18170.954984762626,19872.47196714951,21532.74425399687,23930.484379327412
253,15855.302161415628,18216.288954705302,19918.593941784107,21582.216458799143,23949.34731616242
254,15867.104427180135,18245.234225170483,19948.633761286575,21630.61957789475,24004.454025035753
255,15892.662006508419,18279.671654887035,19990.83442628445,21666.411919777835,24051.49006375396
256,15921.389894228938,18329.22976923054,20037.54365208572,21716.056005984727,24111.321461358857
257,15971.875186991965,18355.11747497787,20080.903533936154,21743.958495674626,24167.220469186817
258,16024.935145267584,18388.9064877326,20115.513230073535,21778.8420703596,24224.904435130968
259,16025.054075691325,18421.920932513814,20167.61430218385,21805.884561552244,24258.28296156274
260,16045.886578534059,18456.754648684073,20195.45934939587,21844.998964124617,24322.363689987433
261,16066.920371166736,18490.471744352883,20239.92875006533,21886.60639151348,24402.805862834
262,16086.302344056245,18539.6837828355,20268.87972913205,21923.34025841472,24434.284174034354
263,16137.928309552359,18570.81188875019,20299.431739208907,21968.63960379461,24460.80726372279
264,16140.644102029357,18597.13105220239,20328.1835871087,22017.109234107884,24508.639427031423
265,16172.98067393456,18630.607179775703,20362.05480087072,22061.30842954656,24546.85645555399
266,16206.21095919786,18674.251661226222,20404.48898502688,22088.52548573399,24593.12777440299
267,16245.004928981953,18715.983016171467,20455.596773326455,22137.713703985897,24620.35910672197
268,16265.342624818653,18764.027252094267,20493.127774092412,22184.49710056225,24696.854949445515
269,16304.707137394433,18792.425078933476,20536.079373984554,22224.749099713437,24744.411788912883
270,16341.409941240247,18834.667701385995,20556.261762695503,22264.155775112693,24788.036617194153
271,16374.464672993428,18872.03358162097,20603.462058721983,22296.086935058753,24846.785935507767
272,16418.178434889305,18911.141373043138,20640.662377499288,22325.91054070121,24891.917582257414
273,16466.252146528,18940.76751378539,20680.619164470223,22387.42938990956,24935.20597414169
274,16486.30410641765,18982.861780264844,20717.80814261951,22430.85636539303,24977.444670879428
275,16518.295576146942,19006.781696781676,20752.30122970666,22486.33711815453,25023.322467573624
276,16534.147500201943,19037.917525901816,20792.208063656206,22522.82967915055,25094.620206171792
277,16564.206935139002,19070.445658602162,20840.073072879535,22562.604892081345,25135.180666386386
278,16603.177190771265,19113.995244613812,20882.64878949763,22616.691394194895,25139.96195123388
279,16637.084842616445,19153.277687945014,20914.198973646737,22663.104381841746,25181.443134964557
280,16667.37178949823,19194.741142456805,20944.147583498278,22702.83533723589,25223.856860944572
281,16685.279861597224,19237.546502445035,20985.87460245274,22755.101943025886,25264.28888844451
282,16739.89071717713,19255.659394589806,21040.21755078391,22779.864760104516,25304.20918424197
283,16775.60958217584,19288.54174706361,21069.191404252815,22829.532581519416,25362.527347966654
284,16798.95570230718,19322.244705164376,21106.954803111697,22856.866287995497,25418.004642901964
285,16822.636483705333,19349.880512978525,21142.05457260104,22904.56818839536,25446.335629528206
286,16846.40946742909,19402.74798975898,21178.811150091427,22947.32111858932,25497.11974559254
287,16882.87474315608,19442.60153103059,21228.367069760592,23007.144853912534,25537.656444862077
288,16915.930482508207,19486.458946086343,21272.394203456282,23061.82212235938,25568.940762425198
289,16951.12314916878,19516.27060132129,21311.85838173681,23076.331850854105,25626.826137040898
290,16973.52708969057,19545.08924591857,21335.13862907068,23129.42112074783,25672.631490227788
291,16997.283541589306,19586.52699797079,21384.155683175646,23159.262019693557,25731.473890767305
292,17043.760326197284,19621.980937549997,21425.639252218876,23196.541850204456,25813.534972626974
293,17073.633544349017,19636.16624584132,21465.8318771352,23239.832403999793,25846.506823251755
294,17101.72550461465,19680.544763472957,21513.77366012641,23253.67940404057,25901.97764401496
295,17124.87963402009,19710.67602390499,21548.352324464206,23305.313230328007,25937.917633542216
296,17162.56507092886,19762.636599564525,21590.764873345317,23339.533871188254,25971.956225565325
297,17212.754974058153,19784.837154879242,21633.084438891492,23373.73323457453,26027.90336719367
298,17240.513186328906,19822.35053792101,21662.558124598196,23419.88782810315,26094.937186497078
299,17278.115170018777,19860.49942928675,21703.154826980935,23476.39324822386,26152.174418433307
300,17329.200511033738,19896.604065858064,21752.402684367655,23534.88024735564,26175.534298549373
301,17346.806340734005,19937.03346415692,21785.87662960794,23586.325469128686,26234.699941323015
302,17386.160279121163,19961.899315545706,21818.970256559816,23613.85677545472,26278.2457074887
303,17407.417094256245,19994.6563518705,21859.516308743347,23649.5646648002,26319.0698815217
304,17434.26146329511,20044.555220868995,21896.906690422467,23688.059692114428,26364.33905231755
305,17454.468517532798,20082.156567435053,21931.643122572386,23717.955317600397,26449.792252368643
